timestamp,event
2025-10-02T22:35:43.305410,Job JOB-5C2CA8 started on P01 by JASON
2025-10-02T22:47:47.180383,FAILURE: Out of filament on P01 for Job JOB-5C2CA8
2025-10-02T22:56:09.653209,"Job JOB-B70E33 started on P01 by JASON (Est. 100 min, 500g)"
2025-10-02T23:10:37.898029,COMPLETED: Job JOB-B70E33 on P01
2025-10-02T23:10:47.194788,STARTED: JOB-0E50B8 on P02 by 
2025-10-02T23:10:51.763594,STARTED: JOB-7CC301 on P03 by 
2025-10-02T23:10:53.399563,COMPLETED: Job JOB-0E50B8 on P02
2025-10-02T23:10:53.399673,COMPLETED: Job JOB-0E50B8 on P02
2025-10-02T23:11:00.066925,COMPLETED: Job JOB-7CC301 on P03
2025-10-02T23:11:00.067541,COMPLETED: Job JOB-7CC301 on P03
2025-10-02T23:11:00.077052,COMPLETED: Job JOB-7CC301 on P03
2025-10-02T23:11:00.077127,COMPLETED: Job JOB-7CC301 on P03
2025-10-02T23:11:00.077224,COMPLETED: Job JOB-7CC301 on P03
2025-10-02T23:22:22.287901,STARTED: JOB-765710 on P01 by jason
2025-10-02T23:22:26.000536,COMPLETED: Job JOB-765710 on P01
2025-10-02T23:24:24.753132,STARTED: JOB-21C3DF on P02 by jason
2025-10-02T23:24:31.790312,STARTED: JOB-C2FDC1 on P02 by jason
2025-10-02T23:26:11.766478,COMPLETED: Job JOB-C2FDC1 on P02
2025-10-03T00:15:38.800229,"STARTED: JOB-DBE1E2 on P01 by jason (G=500g, spool=1000g)"
2025-10-03T00:16:44.801906,COMPLETED: Job JOB-DBE1E2 on P01
2025-10-03T00:18:43.360415,"STARTED: JOB-8B1CA4 on P02 by jason (G=100g, spool=1000.0g)"
2025-10-03T00:18:54.586866,COMPLETED: Job JOB-8B1CA4 on P02
2025-10-03T00:18:58.471848,ATTENDED(close): P02 Completed -> Idle
2025-10-03T00:20:05.388772,"STARTED: JOB-320AF5 on P01 by jason (G=600g, spool=500.0g)"
2025-10-03T00:21:47.739843,FAILURE(out_of_spool): Job JOB-320AF5 on P01
2025-10-03T00:21:57.888635,SPOOL_REPLACED: P01 -> 1000g
2025-10-03T00:21:57.895909,ATTENDED(replace_spool+continue): P01 resume JOB-320AF5
2025-10-03T00:22:18.900133,COMPLETED: Job JOB-320AF5 on P01
2025-10-03T00:22:22.826283,ATTENDED(close): P01 Completed -> Idle
2025-10-03T00:39:52.822821,"STARTED: JOB-BEE974 on P02 by jason (G=100g, spool=900g)"
2025-10-03T00:40:04.212194,"FAILURE(bad_print): Job JOB-BEE974 on P02 (good=0.00, bad=1.00)"
2025-10-03T00:40:12.718181,COMPLETED: Job JOB-BEE974 on P02
2025-10-03T00:41:29.136678,"STARTED: JOB-9E2AD7 on P06 by  (G=100g, spool=1000.0g)"
2025-10-03T00:41:36.497267,"FAILURE(bad_print): Job JOB-9E2AD7 on P06 (good=0.00, bad=1.00)"
2025-10-03T00:41:38.333397,"STARTED: JOB-170CA4 on P01 by jason (G=100g, spool=895.0g)"
2025-10-03T00:41:40.066041,"STARTED: JOB-684506 on P03 by jason (G=100g, spool=1000.0g)"
2025-10-03T00:41:44.625595,"FAILURE(bad_print): Job JOB-170CA4 on P01 (good=0.00, bad=1.00)"
2025-10-03T00:41:46.046206,"FAILURE(bad_print): Job JOB-684506 on P03 (good=0.00, bad=1.00)"
2025-10-03T00:41:47.512967,"FAILURE(bad_print): Job JOB-9E2AD7 on P06 (good=0.01, bad=0.99)"
2025-10-03T00:41:51.646207,COMPLETED: Job JOB-9E2AD7 on P06
2025-10-03T00:41:51.646351,COMPLETED: Job JOB-9E2AD7 on P06
2025-10-03T00:41:51.654157,"FAILURE(bad_print): Job JOB-684506 on P03 (good=0.00, bad=1.00)"
2025-10-03T00:41:52.660515,COMPLETED: Job JOB-9E2AD7 on P06
2025-10-03T00:41:52.660616,COMPLETED: Job JOB-9E2AD7 on P06
2025-10-03T00:41:55.846743,"FAILURE(bad_print): Job JOB-170CA4 on P01 (good=0.00, bad=1.00)"
2025-10-03T00:41:57.366246,"FAILURE(bad_print): Job JOB-684506 on P03 (good=0.00, bad=1.00)"
2025-10-03T00:42:01.527718,"FAILURE(bad_print): Job JOB-170CA4 on P01 (good=0.00, bad=1.00)"
2025-10-03T00:42:01.754064,COMPLETED: Job JOB-170CA4 on P01
2025-10-03T00:42:01.754186,COMPLETED: Job JOB-170CA4 on P01
2025-10-03T00:42:03.033000,"FAILURE(bad_print): Job JOB-684506 on P03 (good=0.00, bad=1.00)"
2025-10-03T00:42:03.808273,COMPLETED: Job JOB-684506 on P03
2025-10-03T00:42:03.810756,COMPLETED: Job JOB-684506 on P03
2025-10-03T00:43:16.392476,ATTENDED(close): P01 Completed -> Idle
2025-10-03T00:43:19.035131,ATTENDED(close): P02 Completed -> Idle
2025-10-03T00:43:20.832749,ATTENDED(close): P03 Completed -> Idle
2025-10-03T00:43:23.027988,ATTENDED(close): P06 Completed -> Idle
2025-10-03T00:44:04.467541,SPOOL_REPLACED: P01 -> 1000g
2025-10-03T00:44:04.468041,"STARTED: JOB-3D33D1 on P01 by jason (G=2000g, spool=1000g)"
2025-10-03T00:44:53.508417,"STARTED: JOB-DB3A41 on P03 by jason (G=200g, spool=900.0g)"
2025-10-03T00:45:13.023656,COMPLETED: Job JOB-DB3A41 on P03
2025-10-03T00:46:06.489914,FAILURE(out_of_spool): Job JOB-3D33D1 on P01
2025-10-03T00:46:18.308465,SPOOL_REPLACED: P01 -> 1000g
2025-10-03T00:46:18.315371,ATTENDED(replace_spool+continue): P01 resume JOB-3D33D1
